Specimen #,Species,Sex,Right Upper Incisor Length (mm),RUI Width (mm),Left Upper Incisor Length (mm),LUI Width (mm),Right Lower Incisor Length (mm),RLI Width (mm),Left Lower Incisor Length (mm),LLI Width (mm)
735,E. dorsatum,Unknown,20,3.7,20.05,3.9,N/A,N/A,N/A,N/A
615,E. dorsatum,Unknown,19.95,3.8,20,3.8,23.75,3.5,23.25,3.5
1186,E. dorsatum,Female,14.75,3.8,13.95,3.35,20.35,3.8,20.7,3.65
1456,E. dorsatum,Unknown,17.25,3.8,17.5,3.8,22.7,3.1,22.35,3
1970,E. dorsatum,Unknown,N/A,N/A,23.7,4.6,N/A,N/A,N/A,N/A
1501,E. dorsatum,Female,13.4,3.8,12.4,3.8,19.65,3.9,19.7,4.1
4619,E. dorsatum,Female,16.9,3.6,17.2,3.5,20.9,3.9,20.4,3.5
2635,E. dorsatum,Male,N/A,N/A,N/A,N/A,22.1,3.1,21.6,3.4
7340,E. dorsatum,Male,16.2,3.8,16.5,3.8,22.1,4.1,22.2,4
7032,M. coypus,Unknown,23.5,5.1,23.7,5.1,29.8,5.1,29.9,4.9
7033,M. coypus,Unknown,22.6,5,21.8,4.9,25.9,5.1,25.8,5.1
7034,M. coypus,Unknown,23,4.7,22.2,4.8,27.9,5.1,28,5.1
7035,M. coypus,Unknown,22.1,4.9,21.2,4.8,26.3,5.1,25.9,5.2
7036,M. coypus,Unknown,23.5,5.2,23.2,5.1,29.6,5.2,28.8,5.3
7037,M. coypus,Unknown,26.2,5.7,25.9,5.9,29.2,6.2,29.8,6.2
7155,M. coypus,Unknown,28,6.6,27.2,6.3,35.5,6.8,34.8,6.7
