"","source","id","type","date","year","decade","lat","lon","location","observer","utm_e","utm_n","county","source2","info","utm_zone","geotagged","accuracy..m.","link","proj_notes","proj_notes2","reply","include"
"2","MISC","MISC1","sighting",2016-10-07,2016,"2010s",43.898882,-121.452827,"Deschutes County, OR","ben_huntington",624254.3,4861805.4,"Deschutes","iNaturalist","none","10","y",488,"https://www.inaturalist.org/observations/4310302",NA,"messaged 4/16/18","replied 6/3/18: ""yes you can use the data, that sounds great. 
good luck with your research,
Ben""","y"
"5","MISC","MISC2","roadkill",2014-08-09,2014,"2010s",46.270732,-123.943141,"Chinook, WA","Chuck Jensen",427327.5,5124560.6,"Pacific","Flickr","""Porcupine 
Surprised to see a porcupine (even if dead) at Chinook Washington State USA. Then i same day I saw yet another Porcupine near Tokeland. 8/2014""","10","n",NA,"https://www.flickr.com/photos/23713672@N05/14891244686/","mentioned a 2nd sighting in Tokeland, WA (also Pacific Co. but on north side of Willapa Bay). I placed the coordiantes approx. according to his description. -CA","messaged 4/16/18","replied 4/17/18: ""August 8th 2014 I saw this porcupine within a mile or two of Chinook Marina in Chinook WashingtonState USA. Already roadkill. 
Free to use data.
That same day I saw another dead porcupine in Tokeland. I don’t recall exactly where I saw it but most likely main road headed north along a normal birding route I take. Not Alive as I have yet to see a live porcupine in WA. State.
Chuck Jensen""","y"
"6","MISC","MISC3","sighting",2015-12-30,2015,"2010s",42.448045,-124.42911,"Oregon Coast","Claudia Künkel",382477.3,4700513.4,"Curry","Flickr","""North American porcupine 
During our morning walk on the beach, Blanca alerted me to this porcupine who was totally immersed in stuffing himself with ferns, roots he dug out and other vegetation. So immersed, in fact, that I had time to drive home, drop off Blanca, grab my zoom lens and return to find him in almost the same spot! I was so happy since I've been waiting for 2 years to photograph a porcupine and have only seen them a handful of times!

Isn't he marvelous?!! He sometimes briefly looked at me when I moved but otherwise ignored me or turned his backside towards me. (I don't really know if it's he or she.)""","10","n",NA,"https://www.flickr.com/photos/claudiamarlene/23996375161/in/photostream/","another view (same porcupine) at https://www.flickr.com/photos/claudiamarlene/24163546001/","messaged 4/16/18","replied 4/17/18 via email: ""Hi Cara, 
I'm responding to your mail on Flickr regarding my porcupine photo/observation in Gold Beach, Oregon.  Yes, please feel free to include my observation in your data.  I would be delighted!  I am just totally charmed by these porcupines.  
I had seen that one in the photo in the morning around 9:30 a.m. on Dec 30, 2015, at these coordinates:  42.448045, -124.429110
There is a creek very near there, beach grass-covered dunes and patches of dense woods, some pastures with sheep and cows and no houses because there is Otter Point State Park there.  In the 5 years that I have lived here and walk in that area with my dog almost daily, I have seen a porcupine in that same area about 5 times.  One time, unfortunately, I found one killed by a car and took a cell phone picture.  It seemed to me like it was not fully grown.  :(  
Hope this can be useful.  Thank you for the interesting information in your paper.
Claudia Kuenkel""","y"
"12","MISC","MISC4","roadkill",2016-06-10,2016,"2010s",46.423389,-117.183235,"Whitman County, WA","dingerdynasty",485920.3,5141107,"Whitman","iNaturalist","""DOR""","11","y",NA,"https://www.inaturalist.org/observations/3445518",NA,"messaged 4/16/18","replied 4/16/18: ""Hi Cara, 
You can absolutely use it!
Thanks, 
Alex"" follow-up: ""Lat: 46.423389 Lon: -117.183235 is the actual location!""","y"
"13","MISC","MISC5","sighting",2017-02-10,2017,"2010s",47.213482,-119.981861,"Crescent Bar, WA","Garret Veley (Mantis of Destiny)",274214.6,5233201.7,"Grant","Flickr","""Porcupine Up a Tree 
Our neighbor pointed out this porcupine to us perched up a tree on the Babcock Bench above Crescent Bar, WA. Until recently (when we were trying to figure out what made those weird tracks through the snow that looked like an animal dragging something) I had no idea there were porcupines around here. Our neighbor says they are pretty much doomed once they wander into this area because the orchard folks will shoot them. Porcupines survive winter by climbing to the top of trees and gnawing off the new bark... which makes them very unwelcome in commercial orchards.""","11","n",NA,"https://www.flickr.com/photos/mantisofdestiny/32721936062/","series of 3 photos (2 of it eating bark). I converted the lat/lon that he sent into UTM. -CA","messaged 4/16/18","replied 4/167/18: ""Hi Cara,
You are welcome to include the observation in your database. I assume you can get the data from the metadata and tags on the photo, but in case not : 
The 3 photos were taken on February 10, 2017 in Grant County, Washingon State at the northern end of the Babcock Bench, near the former town of Trinidad. They are all the same animal.
gps location: lat 47.213482, long -119.981861
the porcupine seemed healthy to me, but I'm no expert.
I also saw what were probably porcupine tracks in the snow along the Babcock ridge about 3 miles southeast of the above sighting, about a month before the above sighting. For all I know it was the same porcupine. 
I am told these animals are very unpopular among the orchardists here, and that it is routine to shoot them.
Garret Veley""","y"
"14","MISC","MISC6","tracks",2013-02-19,2013,"2010s",43.548485,-124.22739,"Dellenback Dunes, OR","Jane Pittenger",400851.5,4822457.8,"Coos","Flickr","""Porcupine-Tracks-At-Dellenbach-Dunes 
This is a reedit of a picture I took last year on the dunes. I'd love suggestions""","10","y",NA,"https://www.flickr.com/photos/77546111@N08/15498880744/","date correct?","messaged 4/16/18","replied 4/18/18: ""I saw these tracks at 5pm, February 12, 2013. I didn’t see the porcupine itself. There were several different paths of tracks...more like one porcupine wandering than more than one. They were seen on the dellenback dunes in Lakeside, OR. It is off rte 101 on the central coast of OR.
Let me know if you want anything else""","y"
"15","MISC","MISC7","sighting",2011-01-02,2011,"2010s",46.135237,-122.141486,"Mt. St. Helens / Mt. Rainier?","Jeff Hollett",566314.5,5109431.6,"Skamania","Flickr","""Porcupine in Snow in Washington""","10","n",NA,"https://www.flickr.com/photos/jeffhollettvancouverwa/5317184330/in/photostream/","I placed these coordinates approx. according to his description -CA","messaged 4/16/18","replied 4/17/18: ""Near Mt. St. Helens somewhere between Ape Cave and Lahar Viewpoint""","y"
"17","MISC","MISC8","sighting",2012-10-07,2012,"2010s",44.133619,-121.192073,"Hatfield Pond, Bend, OR","John Williams",644624,4888302.9,"Deschutes","Flickr","""Porcupine 
This porcupine was feeding right behind my chair as I photographed flying ducks. It was a little distracting being that close to all those quills. It was sunset when i took this picture and of course I had to move way back with the 400mm f5.6 lens.""","10","y",NA,"https://www.flickr.com/photos/johnrwbirds/8075173853/",NA,"messaged 4/16/18","replied 4/17/18: ""Yes, by all means. It was on the bank of one of the Hatfield Lakes sediment ponds east of Bend, Oregon. Quite awhile ago.""","y"
"21","MISC","MISC9","sighting",2017-09-05,2017,"2010s",48.141549,-122.788579,"Pt. Townsend, WA","jtredrock",515727.9,5332054.6,"Jefferson","iNaturalist","none","10","y",165,"https://www.inaturalist.org/observations/7793917","converted lat/lon using http://www.rcn.montana.edu/resources/converter.aspx","messaged 4/16/18","replied 4/17/18: ""Yes, I do agree to let you use the information requested. I’ve have yet to see another Porcupine since that observation. Will continue looking. Interesting that some of my neighbors say they spotted a Fisher in the area but have yet to see one.
Good luck in finding additional into in the Pacific Northwest. No one other than the picture I sent have seen one.""","y"
"23","MISC","MISC10","sighting",2013-11-14,2013,"2010s",46.848051,-119.866023,"Columbia NWR, WA","Karen Wosilait",281497.8,5192267.3,"Grant","Flickr","""North American Porcupine 
Lower Crab Creek, Columbia NWR, Washington, USA. Nov 14, 2013.""","11","n",NA,"https://www.flickr.com/photos/94096770@N02/10930330044/","series of 3 photos. I plaed coordinates approx. according to the description but this is a huge area (could be a few miles off) -CA","messaged 4/16/18","replied 4/17/18: ""Please feel free to include the observation. The only thing that I can add is that the observation was made on a birding field trip, so there might be some others with the same observation. 
All the best with your research!""","y"
"24","MISC","MISC11","sighting",2016-09-22,2016,"2010s",43.872884,-121.423489,"Sunriver, OR","Ken Shults",626665.6,4858962.4,"Deschutes","Flickr","""Porcupine 
I was out looking for great gray owls near Sunriver in central Oregon and thought I heard one calling from several hundred yards away so I went that way to investigate. As I got to the north end of the meadow I heard some rustling near the edge of the forest. This porcupine was the source of the commotion. He didn't seem too concerned about me but when I stepped a little too close he puffed up like a pin cushion to let me know that was close enough. I went into the forest to circle around for a different angle. As I entered the forest a great gray owl flew from its perch and went off through the dense trees. It was so thick I lost it after only 15 yards or so. It is an amazing thing to see such a huge bird (wingspan close to 5 feet) flying at just 10 feet or less off the ground through dense forest in absolute silence. It looks more like a hovercraft than a bird. It has such huge surface area compared to its weight and each wing beat moves so much air it hardly has to flap. It floats through the forest like a huge gray ghost. No photos of the owl as I couldn't find it again after the brief glimpse on the fly by.""","10","n",NA,"https://www.flickr.com/photos/owlpurist/29998068335/","I placed lat/lon near Sunriver -CA","messaged 4/16/18","replied 5/2/18: ""Hi Cara,
I think the following encounters are nearly all of the times I have seen a porcupine in central Oregon over the last few years. I think there was only one other time that I saw one while driving that I don't have a photo of and therefore can't pinpoint the date. But I have a photo record of all the following except the one on 4/7/2018 which i didn't photograph due to darkness. Please let me know if you would like any more info. 
Thanks! Ken
7/20/2015 - Evening - found one porcupine in pine tree on edge of meadow adjacent to Deschutes River in LaPine State Park in central Oregon.
4/12/2016 - Evening - found one porcupine in pine tree within 50 yards of the location of the one I found the previous summer on 7/20/2015.
9/22/106 - Evening - found one porcupine on edge of meadow in central Oregon near Sunriver
4/17/2017 - late afternoon/early evening - found one porcupine wandering around in the meadow by the far end of the airport runway at Sunriver Oregon.
5/23/2017 - evening found - one porcupine hanging out in a dense area of pine trees within a few feet of a dead porcupine.
4/7/2018 - late evening - found one very large porcupine walking along trail through meadow adjacent to Deschutes River in central Oregon near Sunriver.
4/13/2018 - found porcupine remains in large meadow near Sunriver Oregon""","y"
"25","MISC","MISC12","sighting",2015-07-20,2015,"2010s",43.771341,-121.534086,"Central OR","Ken Shults",617979.4,4847520.9,"Deschutes","Flickr","""Porcupine 
My first porcupine! I was looking for great gray owls in central Oregon. I was checking a patch of forest near where their nest had been when I heard some scratching on a tree and when I looked to see what it was I found this porcupine working its way up straight up the trunk. I've never seen one in the wild before. Very cool.""","10","n",NA,"https://www.flickr.com/photos/owlpurist/19878836225/","I placed lat/lon within the SP -CA","messaged 4/16/18","replied 5/2/18: ""Hi Cara,
I think the following encounters are nearly all of the times I have seen a porcupine in central Oregon over the last few years. I think there was only one other time that I saw one while driving that I don't have a photo of and therefore can't pinpoint the date. But I have a photo record of all the following except the one on 4/7/2018 which i didn't photograph due to darkness. Please let me know if you would like any more info. 
Thanks! Ken
7/20/2015 - Evening - found one porcupine in pine tree on edge of meadow adjacent to Deschutes River in LaPine State Park in central Oregon.
4/12/2016 - Evening - found one porcupine in pine tree within 50 yards of the location of the one I found the previous summer on 7/20/2015.
9/22/106 - Evening - found one porcupine on edge of meadow in central Oregon near Sunriver
4/17/2017 - late afternoon/early evening - found one porcupine wandering around in the meadow by the far end of the airport runway at Sunriver Oregon.
5/23/2017 - evening found - one porcupine hanging out in a dense area of pine trees within a few feet of a dead porcupine.
4/7/2018 - late evening - found one very large porcupine walking along trail through meadow adjacent to Deschutes River in central Oregon near Sunriver.
4/13/2018 - found porcupine remains in large meadow near Sunriver Oregon""","y"
"26","MISC","MISC13","sighting",2016-04-12,2016,"2010s",43.771341,-121.534086,"Oregon","Ken Shults",617979.4,4847520.9,"Deschutes","Flickr","""Porcupine 
Didn't find the owls I was looking for but came across this porcupine which was very cool.""","10","n",NA,"https://www.flickr.com/photos/owlpurist/26324257992/","I placed lat/lon within the SP -CA","messaged 4/16/18","replied 5/2/18: ""Hi Cara,
I think the following encounters are nearly all of the times I have seen a porcupine in central Oregon over the last few years. I think there was only one other time that I saw one while driving that I don't have a photo of and therefore can't pinpoint the date. But I have a photo record of all the following except the one on 4/7/2018 which i didn't photograph due to darkness. Please let me know if you would like any more info. 
Thanks! Ken
7/20/2015 - Evening - found one porcupine in pine tree on edge of meadow adjacent to Deschutes River in LaPine State Park in central Oregon.
4/12/2016 - Evening - found one porcupine in pine tree within 50 yards of the location of the one I found the previous summer on 7/20/2015.
9/22/106 - Evening - found one porcupine on edge of meadow in central Oregon near Sunriver
4/17/2017 - late afternoon/early evening - found one porcupine wandering around in the meadow by the far end of the airport runway at Sunriver Oregon.
5/23/2017 - evening found - one porcupine hanging out in a dense area of pine trees within a few feet of a dead porcupine.
4/7/2018 - late evening - found one very large porcupine walking along trail through meadow adjacent to Deschutes River in central Oregon near Sunriver.
4/13/2018 - found porcupine remains in large meadow near Sunriver Oregon""","y"
