"","source","id","type","date","year","decade","lat","lon","COMMENTS","FS_UNIT_ID","OBJECTID","COMMON_NAM","SCIENTIFIC","TAXA_LEVEL","CLASS_NAME","TOTAL_DETE","GROUP_TYPE","LIFE_HISTO","LIFE_STAGE","REPRO_STAT","SURVEY_OBS","DATE_TIME_","DATE_TIME1","OBS_TYPE","OBS_METHOD","OBS_METH_1","OBS_METH_2","OBSERVER_N","DATA_ORIGI","SURVEY_YEA","PROTOCOL_N","REFERENCE","LOCAL_ID","FIELD_LOCA","FED_STATUS","FS_STATUS","NATURESERV","STATE_STAT","FED_STAT_1","FS_STATUS_","NATURESE_1","STATE_ST_1","LAST_UPDAT","LAST_UPD_1","BA_SOURCE","SOURCE_GEO","SOURCE_G_1","TSN","GIS_ACRES","GIS_MILES","TIME_INTER","DISTANCE_B","EXACT_DIST","FS_UNIT_NA","DATA_SOURC","OBS_CN","SURVEY_CN","CMN_VST_CN","SPATIAL_ID","SHAPE_AREA","SHAPE_LEN"
"1","NRM","NRM1","other",1980-07-01,1980,"1980s",42.82383462,-124.0104619,"RUNNING ALONG ROAD TRYING TO GET AWAY FROM TRUCKOwner R06F11A; SiteID 50663 VisitNo 50663;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage is mature sawtimber/trees >18"" dbh, 121-200 yrs;   Elev 800 ft;Owner US",610,3410380,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/1/1980","N","Exact",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), STRECKER/TURNER (Unknown)","Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00417500474155082483334012719",NA,NA,"00000417500474155082483334012719",3.436e-08,0.000681042
"2","NRM","NRM2","sighting",2002-06-22,2002,"2000s",44.19116317,-119.8584139,"WALKING DOWN BEAVER CREEK ON PRIVATE LANDOwner R06F07D02A; SiteID 3353 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner PVT;TRS: 16S 24E 16 Qtr16: NWNW;Remarks:",607,4329387,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","6/22/2002","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), RENEE ROUFS (Experienced)","Non-Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"FNAOBPT00751161489770785423816002561",NA,NA,"00000751161489770785423816002561",3.514e-08,0.0006911784
"3","NRM","NRM3","sighting",1992-08-30,1992,"1990s",44.85981013,-118.7599874,"Observation coordinates entered manually.
Coordinates Manually Changed 4/21/2004; 
",614,4334833,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","8/30/1992","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","YOUNG, A. (Unknown)","Forest Service",0,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,"6/14/2004",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"UMATILLA NATIONAL FOREST",NA,"FNAOBPT44.8599118.758921042004429117",NA,NA,"00044085991180758921042004429117",3.554e-08,0.00069636906
"4","NRM","NRM4","sighting",1990-06-07,1990,"1990s",42.59933888,-122.1788375,"Species Condition is Healthy;  Owner R06F20A; SiteID 1621 VisitNo 1;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102);    Owner ;TRS: 34S 05E 24 Qtr16: ;Remarks:",602,3364796,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","6/7/1990","N","Exact",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), MENANNO (Unknown)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"FREMONT-WINEMA NATIONAL FORESTS",NA,"FNAOBPT00567459471645385262326001370",NA,NA,"00000567459471645385262326001370",3.424e-08,0.00067943706
"5","NRM","NRM5","camera",2015-06-12,2015,"2010s",44.61541888,-118.6584607,NA,604,3383624,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","6/12/2015","N","Exact",NA,NA,"Camera Set","The animal was detected by remotely triggered photography or videography.","TRAIL CAMERA, BMRD (Unknown)","Forest Service",0,NA,NA,"BM6061115 TrlCam",0,NA,NA,NA,NA,NA,NA,NA,NA,"3/24/2016",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"MALHEUR NATIONAL FOREST",2,"d49e0e00-7433-4f00-b761-7fbfc42d588d",NA,"1b857f07-0ce5-4b40-ba1c-5e390699d176","63614ed4-db3b-454a-9fd2-68c37ecc7bdc",3.539e-08,0.00069445321
"6","NRM","NRM6","sighting",1994-09-13,1994,"1990s",43.96634959,-120.2689103,"Species Condition is Healthy;  Owner R06F07D03A; SiteID 1125 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 18S 20E 36 Qtr16: ;Remarks: 16 ROAD",607,3397428,"North American Porcupine","Erethizon dorsatum","Species","Mammals",2,"Unknown",NA,NA,"Unknown","9/13/1994","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), T.SHINN (Experienced)","Forest Service",0,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"OCHOCO NATIONAL FOREST",NA,"FNAOBPT00719183487156485423816001357",NA,NA,"00000719183487156485423816001357",3.501e-08,0.00068946825
"7","NRM","NRM7","sighting",1991-06-26,1991,"1990s",42.25293452,-122.2992388,"View Scale at Data Entry 1:14845;
",610,3403765,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Single",NA,NA,"Unknown","6/26/1991","N","Day",NA,NA,"Visual","The animal was detected by seeing it.","(MIGRATED), LAUREN TAYLOR (Experienced)","Forest Service",0,NA,NA,"280",100,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT42.2530122.298109112005830900",NA,NA,"00042025301220298109112005830900",3.405e-08,0.0006769938
"8","NRM","NRM8","other",1991-07-09,1991,"1990s",42.81937286,-124.0160163,"WALKED ON SIDE OF THE ROADOwner R06F11A; SiteID 51897 VisitNo 51897;  Activity? Y; Protocol Met? ;  Habitat is Mixed Coniferous Forest (SW) (102); Seral Stage is closed sapling/ pole/ sawtimber stand condition, 31-120 yrs;   Elev 1089 ft;Owner USFS;TRS",610,3409044,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/9/1991","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), DAVE DOYLE (Unknown)","Forest Service",0,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"ROGUE RIVER-SISKIYOU NATIONAL FORESTS",NA,"FNAOBPT00417040474106082483334013553",NA,NA,"00000417040474106082483334013553",3.436e-08,0.00068101074
"9","NRM","NRM9","other",1997-07-04,1997,"1990s",43.51116725,-121.9971709,"1 SMALL PORCUPINE CROSSING TRAIL ON 6"" DBH LP BLOWDOWNOwner R06F01D02A; SiteID 1192 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 24 6 10 Qtr16: NWSW;Remarks: on Pretty Lake trail",601,3353083,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","7/4/1997","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), UNKNOWN (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"5/22/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"DESCHUTES NATIONAL FOREST",NA,"FNAOBPT00581152481787281984622000849",NA,NA,"00000581152481787281984622000849",3.474e-08,0.00068605914
"10","NRM","NRM10","other",1994-08-17,1994,"1990s",42.95729205,-121.2036774,"Species Condition is Healthy;  SEEN APPROXIMATELY 1500 FEET FROM 3038 RD, ALONG NORTH FORK SILVER CREEKOwner R06F02A; SiteID 576 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 30S 13E 20 Qtr16: ;Remarks:",602,3363857,"North American Porcupine","Erethizon dorsatum","Species","Mammals",1,"Unknown",NA,NA,"Unknown","8/17/1994","N","Day",NA,NA,"Other","Evidence of the animal was detected by means other than those above (e.g. hair snare, track plate, antler rub, etc).  Describe in comments.","(MIGRATED), G. LITTLEHALES, B. REED (Experienced)","Forest Service",0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,"6/5/2008",18991230,"WL","Point",0,180393,0.077,0.039,NA,NA,0,"FREMONT-WINEMA NATIONAL FORESTS",NA,"FNAOBPT00646613475744083954709000247",NA,NA,"00000646613475744083954709000247",3.443e-08,0.00068200361
