"","source","id","type","date","year","decade","lat","lon","source2","OBJECTID","Tax_ID_Rel","ELCODE","Sci_Name","Com_name","Locational","PODS_UUID","OBJECTID_1","Tax_ID_R_1","ELCODE_1","Sci_Name_1","Com_name_1","Location_1","Observat_1","PODS_UUI_1","Rec_Submis","Rec_Subm_1","Rec_Create","Rec_Crea_1","Rec_Update","Rec_Upda_1","Rec_Upda_2","Biotics_So","Survey_Rec","Survey_For","Survey_Oth","Institute","Accsn_No","Location","Loc_Uncert","SPX","SPY","UTMZone","UTME","UTMN","Latitude","Longitude","Town_Range","Sect","Sect_Comme","Elevation_","Gen_Elevat","County","Gen_County","Mapping_Co","Agency","Observat_2","Observat_3","Species_Ob","Habitat_Ob","Location_U","Unknown_Se","Males","Females","Pairs","Juveniles","Immature","Eggs","Nest","pt_source","Original_S","Original_C","Observat_4","Observers","Dataset","State_X_Fe","State_Y_Fe","HUC12"
"1","ORBIC","ORBIC1","sighting",2000-05-18,2000,"2000s",44.68539786,-119.2156233,"other",124777,3,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"e1f62686-7ca9-11e4-b705-f8b156a11174",124777,3,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"5/18/2000","e1f62686-7ca9-11e4-b705-f8b156a11174","8/10/2006","Cynthia Kranich","3/26/2007","Lindsey Koepke",NA,NA,NA,"U06MAL01ORUS",673,NA,NA,NA,NA,"District LONG CREEK Subshed INDIAN/SMACKERS CANYON",0,0,0,NA,0,0,NA,NA,"010S029E",22,"NESW",0,0,NA,NA,NA,"Malheur National Forest",0,NA,"Baby porcupine, about the size of a football, under a log.  Indian Creek.",NA,NA,1,0,0,0,0,0,0,0,"township, range and section centroids","ERETHIZON DORSATUM","COMMON PORCUPINE",NA,"C.KRANICH",NA,1646313.187,1072574.16,170702020903
"3","ORBIC","ORBIC2","sighting",1996-06-03,1996,"1990s",42.46360044,-123.2063213,"BLM_GeoBOB",247791,3,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"ed63deb8-7ca9-11e4-bafd-f8b156a11174",247791,3,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"6/3/1996","ed63deb8-7ca9-11e4-bafd-f8b156a11174","7/12/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200571216192090187413",NA,NA,NA,0,0,0,10,483038,4701272,42.46360044,-123.2063213,NA,0,NA,0,0,NA,"Jackson",NA,"BLM",1,NA,NA,NA,"Unknown",1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Visual","P. SWETS","GeoBOB December 2014 full data export from Diane Stutzman",582019.5144,272207.4516,171003080306
"9","ORBIC","ORBIC3","unknown",1994-05-24,1994,"1990s",42.93737147,-123.8632911,"BLM_GeoBOB",261102,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"eea7f7a1-7ca9-11e4-9a4a-f8b156a11174",261102,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"5/24/1994","eea7f7a1-7ca9-11e4-9a4a-f8b156a11174","9/15/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200591585846976111156",NA,NA,NA,0,0,0,10,429563,4754222,42.93737147,-123.8632911,NA,0,NA,0,0,NA,"Coos",NA,"BLM",1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Other","DAVISSON, K.","GeoBOB December 2014 full data export from Diane Stutzman",411894.6929,451307.0403,171003050104
"10","ORBIC","ORBIC4","unknown",1992-04-14,1992,"1990s",43.24575422,-124.041983,"BLM_GeoBOB",261757,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"eebb0a30-7ca9-11e4-a021-f8b156a11174",261757,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"4/14/1992","eebb0a30-7ca9-11e4-a021-f8b156a11174","9/15/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200591585846944111153",NA,NA,NA,0,0,0,10,415409,4788633,43.24575422,-124.041983,NA,0,NA,0,0,NA,"Coos",NA,"BLM",1,NA,"@ NSO CALL PT. # 17, UPJOHN T.S.",NA,NA,1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Other","WINSLOW, R.","GeoBOB December 2014 full data export from Diane Stutzman",368930.5781,565610.769,171003050403
"11","ORBIC","ORBIC5","sighting",1994-05-02,1994,"1990s",43.06089224,-123.8906526,"BLM_GeoBOB",264693,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"ef000281-7ca9-11e4-95a3-f8b156a11174",264693,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"5/2/1994","ef000281-7ca9-11e4-95a3-f8b156a11174","9/15/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200591585846976111155",NA,NA,NA,0,0,0,10,427476,4767962,43.06089224,-123.8906526,NA,0,NA,0,0,NA,"Coos",NA,"BLM",1,NA,"LARGE... DIDN'T WANT TO LEAVE ROADWAY",NA,NA,1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Other","DAVISSON, K.","GeoBOB December 2014 full data export from Diane Stutzman",406432.1537,496590.4146,171003050105
"12","ORBIC","ORBIC6","unknown",1993-07-08,1993,"1990s",43.08973083,-123.933005,"BLM_GeoBOB",268996,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"ef666567-7ca9-11e4-ab2c-f8b156a11174",268996,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"7/8/1993","ef666567-7ca9-11e4-ab2c-f8b156a11174","9/15/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200591585846960111154",NA,NA,NA,0,0,0,10,424063,4771202,43.08973083,-123.933005,NA,0,NA,0,0,NA,"Coos",NA,"BLM",1,NA,NA,NA,NA,2,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Other","DAVISSON. K.","GeoBOB December 2014 full data export from Diane Stutzman",395562.5097,507562.2943,171003050109
"13","ORBIC","ORBIC7","sighting",1992-06-16,1992,"1990s",42.19279091,-122.3756721,"BLM_GeoBOB",282409,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"f0a57561-7ca9-11e4-8f74-f8b156a11174",282409,2,"AMAFJ01010","Erethizon dorsatum","Common porcupine",3,"6/16/1992","f0a57561-7ca9-11e4-8f74-f8b156a11174","7/12/2005","GB_MIGRATE","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"200571216196586612",NA,NA,NA,0,0,0,10,551549,4671371,42.19279091,-122.3756721,NA,0,NA,0,0,NA,"Jackson",NA,"BLM",1,NA,NA,NA,"Unknown",1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Visual","K. CRUMP;JEANINE ROSSA","GeoBOB December 2014 full data export from Diane Stutzman",803871.3916,167254.3328,180102060401
"14","ORBIC","ORBIC8","sighting",2013-07-25,2013,"2010s",43.04712354,-124.0446465,"BLM_GeoBOB",317877,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",1,"f3f5155b-7ca9-11e4-9772-f8b156a11174",317877,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",1,"7/25/2013","f3f5155b-7ca9-11e4-9772-f8b156a11174","9/5/2013","AMWARD","12/4/2014","Lindsey Wise",NA,NA,NA,"U14BLM02ORUS",0,NA,"20139512293030592513",NA,NA,NA,0,0,0,10,414917,4766577,NA,NA,NA,0,NA,0,0,NA,"Coos",NA,"BLM",1,NA,"Porqupine seen on an old road in tall grass.",NA,NA,1,0,0,0,0,0,0,0,"point coordinates","Erethizon dorsatum","Common Porcupine","Visual","WARD, ALICIA M.","GeoBOB December 2014 full data export from Diane Stutzman",365097.1031,493314.4468,171003050110
"15","ORBIC","ORBIC9","sighting",1997-07-04,1997,"1990s",43.51116725,-121.9971709,"NRM",323415,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"f47a71eb-7ca9-11e4-8af8-f8b156a11174",323415,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"7/4/1997","f47a71eb-7ca9-11e4-8af8-f8b156a11174",NA,NA,"12/5/2014","Lindsey Wise",NA,NA,NA,"U14USF03ORUS",0,NA,"00000581152481787281984622000849",NA,NA,NA,400,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,"Klamath",NA,"USFS",1,NA,"1 SMALL PORCUPINE CROSSING TRAIL ON 6"" DBH LP BLOWDOWNOwner R06F01D02A; SiteID 1192 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 24 6 10 Qtr16: NWSW;Remarks: on Pretty Lake",NA,"Unknown",1,0,0,0,0,0,0,0,"inside centroid of observation polygon","Erethizon dorsatum","North American Porcupine","Other","(MIGRATED), UNKNOWN (Experienced)",NA,915225.9179,645610.65,170703020205
"16","ORBIC","ORBIC10","sighting",1997-07-29,1997,"1990s",43.46660593,-122.0892785,"NRM",323848,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"f483e7ec-7ca9-11e4-a6dc-f8b156a11174",323848,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"7/29/1997","f483e7ec-7ca9-11e4-a6dc-f8b156a11174",NA,NA,"12/5/2014","Lindsey Wise",NA,NA,NA,"U14USF03ORUS",0,NA,"00000573761481283881984622000870",NA,NA,NA,400,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,"Klamath",NA,"USFS",1,NA,"LARGE (3.5' NOSE TO TAIL) PORCUPINE CLIMBED 7"" DBH LP AS I APPROACHEDOwner R06F01D02A; SiteID 1213 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 24 5.5 26 Qtr16: NESW;Rem",NA,"Unknown",1,0,0,0,0,0,0,0,"inside centroid of observation polygon","Erethizon dorsatum","North American Porcupine","Other","(MIGRATED), UNKNOWN (Experienced)",NA,890484.0681,629832.3401,170703020203
"17","ORBIC","ORBIC11","sign",1994-04-05,1994,"1990s",43.61893032,-121.0175668,"NRM",327525,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"f4de6403-7ca9-11e4-80d0-f8b156a11174",327525,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"4/5/1994","f4de6403-7ca9-11e4-80d0-f8b156a11174",NA,NA,"12/5/2014","Lindsey Wise",NA,NA,NA,"U14USF03ORUS",0,NA,"00043061901210016409102007886237",NA,NA,NA,100,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,"Deschutes",NA,"USFS",1,NA,"View Scale at Data Entry 1:11168;
Scat near collapsed cave ent",NA,"Unknown",1,0,0,0,0,0,0,0,"inside centroid of observation polygon","Erethizon dorsatum","North American Porcupine","Excrement","(MIGRATED), LEONARD, K. (Experienced)",NA,1175295.561,681696.3699,171200050501
"18","ORBIC","ORBIC12","sighting",1994-08-17,1994,"1990s",42.95729205,-121.2036774,"NRM",331578,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"f542f261-7ca9-11e4-924f-f8b156a11174",331578,1,"AMAFJ01010","Erethizon dorsatum","Common porcupine",2,"8/17/1994","f542f261-7ca9-11e4-924f-f8b156a11174",NA,NA,"12/5/2014","Lindsey Wise",NA,NA,NA,"U14USF03ORUS",0,NA,"00000646613475744083954709000247",NA,NA,NA,400,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,NA,"Lake",NA,"USFS",1,NA,"Species Condition is Healthy;  SEEN APPROXIMATELY 1500 FEET FROM 3038 RD, ALONG NORTH FORK SILVER CREEKOwner R06F02A; SiteID 576 VisitNo 1;  Activity? Y; Protocol Met? ;      Owner ;TRS: 30S 13E 20 Qtr16: ;Rem",NA,"Unknown",1,0,0,0,0,0,0,0,"inside centroid of observation polygon","Erethizon dorsatum","North American Porcupine","Other","(MIGRATED), G. LITTLEHALES, B. REED (Experienced)",NA,1123952.824,440929.6404,171200050206
